Stage,Team 1,Team 2,Stadium,Host City
Group F,Tunisia,Japan,Estadio Monterrey,Guadalupe
Group F,Japan,Sweden,Dallas Stadium,Arlington
Group F,Tunisia,Netherlands,Kansas City Stadium,Kansas City
Group G,Belgium,Egypt,Seattle Stadium,Seattle
Group G,Iran,New Zealand,Los Angeles Stadium,Los Angeles
Group G,Belgium,Iran,Los Angeles Stadium,Los Angeles
Group G,New Zealand,Egypt,BC Place Vancouver,Vancouver
Group G,Egypt,Iran,Seattle Stadium,Seattle
Group G,New Zealand,Belgium,BC Place Vancouver,Vancouver
Group H,Spain,Cape Verde Islands,Atlanta Stadium,Atlanta
Group H,Saudi Arabia,Uruguay,Miami Stadium,Miami
Group H,Spain,Saudi Arabia,Atlanta Stadium,Atlanta
Group H,Uruguay,Cape Verde Islands,Miami Stadium,Miami
Group H,Cape Verde Islands,Saudi Arabia,Houston Stadium,Houston
Group H,Uruguay,Spain,Estadio Guadalajara,Guadalajara
Group I,France,Senegal,New York New Jersey Stadium,East Rutherford
Group I,Iraq,Norway,Boston Stadium,Foxborough
Group I,France,Iraq,Philadelphia Stadium,Philadelphia
Group I,Norway,Senegal,New York New Jersey Stadium,East Rutherford
Group I,Norway,France,Boston Stadium,Foxborough
Group I,Senegal,Iraq,Toronto Stadium,Toronto
Group J,Argentina,Algeria,Kansas City Stadium,Kansas City
Group J,Austria,Jordan,San Francisco Bay Area Stadium,Santa Clara
Group J,Argentina,Austria,Dallas Stadium,Arlington
Group J,Jordan,Algeria,San Francisco Bay Area Stadium,Santa Clara
Group J,Algeria,Austria,Kansas City Stadium,Kansas City
Group J,Jordan,Argentina,Dallas Stadium,Arlington
Group K,Portugal,Congo DR,Houston Stadium,Houston
Group K,Uzbekistan,Colombia,Mexico City Stadium,Mexico City
Group K,Portugal,Uzbekistan,Houston Stadium,Houston
Group K,Colombia,Congo DR,Estadio Guadalajara,Guadalajara
Group K,Colombia,Portugal,Miami Stadium,Miami
Group K,Congo DR,Uzbekistan,Atlanta Stadium,Atlanta
Group L,England,Croatia,Dallas Stadium,Arlington
Group L,Ghana,Panama,Toronto Stadium,Toronto
Group L,England,Ghana,Boston Stadium,Foxborough
Group L,Panama,Croatia,Toronto Stadium,Toronto
Group L,Croatia,Ghana,Philadelphia Stadium,Philadelphia
Group L,Panama,England,New York New Jersey Stadium,East Rutherford
Round of 32,Germany,Paraguay,Boston Stadium,Foxborough
Round of 32,France,Sweden,New York New Jersey Stadium,East Rutherford
Round of 32,South Africa,Canada,Los Angeles Stadium,Los Angeles
Round of 32,Netherlands,Morocco,Estadio Monterrey,Guadalupe
Round of 32,Portugal,Croatia,Toronto Stadium,Toronto
Round of 32,Spain,Austria,Los Angeles Stadium,Los Angeles
Round of 32,United States,Bosnia-Herzegovina,San Francisco Bay Area Stadium,Santa Clara
Round of 32,Belgium,Senegal,Seattle Stadium,Seattle
Round of 32,Brazil,Japan,Houston Stadium,Houston
Round of 32,Ivory Coast,Norway,Dallas Stadium,Arlington
Round of 32,Mexico,Ecuador,Mexico City Stadium,Mexico City
Round of 32,England,Congo DR,Atlanta Stadium,Atlanta
Round of 32,Argentina,Cape Verde Islands,Miami Stadium,Miami
Round of 32,Australia,Egypt,Dallas Stadium,Arlington
Round of 32,Switzerland,Algeria,BC Place Vancouver,Vancouver
Round of 32,Colombia,Ghana,Kansas City Stadium,Kansas City
Round of 16,Paraguay,France,Philadelphia Stadium,Philadelphia
Round of 16,Canada,Morocco,Houston Stadium,Houston
Round of 16,Portugal,Spain,Dallas Stadium,Arlington
Round of 16,United States,Belgium,Seattle Stadium,Seattle
Round of 16,Brazil,Norway,New York New Jersey Stadium,East Rutherford
Round of 16,Mexico,England,Mexico City Stadium,Mexico City
Round of 16,Argentina,Egypt,Atlanta Stadium,Atlanta
Round of 16,Switzerland,Colombia,BC Place Vancouver,Vancouver
Quarter-finals,Winner Match 89,Winner Match 90,Boston Stadium,Foxborough
Quarter-finals,Winner Match 93,Winner Match 94,Los Angeles Stadium,Los Angeles
Quarter-finals,Winner Match 91,Winner Match 92,Miami Stadium,Miami
Quarter-finals,Winner Match 95,Winner Match 96,Kansas City Stadium,Kansas City
Semi-finals,Winner Match 97,Winner Match 98,Dallas Stadium,Arlington
Semi-finals,Winner Match 99,Winner Match 100,Atlanta Stadium,Atlanta
Third Place Play-off,Loser Match 101,Loser Match 102,Miami Stadium,Miami
Final,Winner Match 101,Winner Match 102,New York New Jersey Stadium,East Rutherford
